Company Name,City,Country,Website,Email,Phone,Industry,Notes
GRA MBH,Berlin,Germany,,info@grambh.de,+49 35476 6620,Textile/Used Clothing Buyer,"Contact: Ms Anke Saig, Richardplatz Berlin"
Chalintra Seidenhaus,Munich,Germany,,info@chalintra.de,+49 89 36899935,Silk/Textile Importer,Kohlrauschstrasse 4 Munich
ARA Moden GmbH & Co. KG,Germany,Germany,www.ara-moden.de,info@ara-moden.de,,Cloth & Textile Wholesaler,Leading textile wholesaler in Germany
Johann Mintrop GmbH,Germany,Germany,www.mintrop.de,info@mintrop.de,,Textile Trading,Established textile company
Taubert Textil GmbH,Germany,Germany,www.taubert-textil.de,info@taubert-textil.de,,Home Textiles,Textile manufacturer
Gina B Fashion GmbH,Germany,Germany,,info@ginab-fashion.de,,Fashion/Apparel,Fashion wholesale
ANA International Trading GmbH,Germany,Germany,,info@ana-trading.de,,International Trading,Textile import/export
EUROMODA,Düsseldorf,Germany,www.euromoda.de,info@euromoda.de,,Fashion Wholesale Center,"Major wholesale district, excellent infrastructure"
Leather Sound Fashion GmbH,Düsseldorf,Germany,,info@leathersound.de,,Fabrics & Garments,Fashion wholesale
A.B.M. Fashion GmbH,Düsseldorf,Germany,,info@abm-fashion.de,,Textile Business,Leading textile company
Kangol Germany,Germany,Germany,www.kangol.de,info@kangol.de,,Apparel Wholesale,10+ years in Germany
House Style,Germany,Germany,www.housestyle.de,info@housestyle.de,,Young Fashion Wholesale,"100+ new items weekly, major European wholesaler"
Europewide Textile Trading GmbH,Germany,Germany,,info@europewide-textile.de,,Textile Wholesale,Men/Women/Children clothing
Packando GmbH,Hamburg,Germany,www.packando.de,info@packando.de,,Apparel/Packaging,"Founded 1989, based in Lüneburg"
Awan Deutschland,Germany,Germany,,info@awan-deutschland.de,,Sportswear/Apparel,Ready-made clothing supplier
Stock Continent,Germany,Germany,www.stockcontinent.de,info@stockcontinent.de,,Brand Clothing Wholesale,"Since 2007, European brands"
Poppistrong,Germany,Germany,www.poppistrong.de,info@poppistrong.de,,Textile Surplus/Fashion,Surplus clothing wholesale
Nitzsche Fashion,Germany,Germany,www.nitzsche-fashion.de,info@nitzsche-fashion.de,,Textile/Accessories,Also manufactures products
Tecno Plast Industrietechnik GmbH,Germany,Germany,,info@tecnoplast.de,,Industrial Textiles,Largest cloth range in Germany
Doris John Lederwaren Import,Germany,Germany,,info@dorisjohn.de,,Leather/Textile Import,Import business
JDF Import-Export GmbH,Germany,Germany,,info@jdf-import.de,,Import/Export,"Founded July 27, 2000"
Rainbow Gift Articles Import & Export GmbH,Germany,Germany,,info@rainbow-gift.de,,Trend/Seasonal Items,Main importer in German/EU market
TRUETZSCHLER GROUP SE,Germany,Germany,www.truetzschler.com,info@truetzschler.com,,Textile Machinery,16% market share - 1185 shipments
PUMA International Trading GmbH,Herzogenaurach,Germany,www.puma.com,sourcing@puma.com,,Sportswear Brand,"15% market share, major importer"
Brandsdistribution Germany,Germany,Germany,www.brandsdistribution.com,info@brandsdistribution.com,,B2B Fashion Platform,200+ Italian & international brands
